ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"157.230.183.230","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","54954","socks4","1370","1","2023-04-07T22:06:39.588Z","100","1366","1370"
"104.251.81.87","elite","AS11325","US","Altus Communications Inc.","82","BraveWay","14778","socks5","1397","1","2023-04-07T22:06:39.960Z","100","1411","1412"
"159.65.187.118","elite","AS14061","US","DigitalOcean, LLC","83","Digital Ocean","53783","socks5","1363","1","2023-04-07T22:06:39.964Z","100","1315","1318"
"104.223.45.93","elite","AS8100","US","QuadraNet Enterprises LLC","138","QuadraNet","80","socks5","1298","2","2023-04-07T22:06:38.336Z","100","1353","1356"
"66.33.212.139","elite","AS26347","US","New Dream Network, LLC","78","New Dream Network, LLC","17567","socks4","1151","1","2023-04-07T22:06:38.721Z","100","1393","1394"
"38.127.173.41","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","1359","1","2023-04-07T22:06:38.745Z","100","1311","1312"
"75.182.38.113","elite","AS11426","US","Charter Communications","109","Spectrum","5678","socks4","1552","1","2023-04-07T22:06:37.478Z","100","1358","1362"
"50.47.75.215","elite","AS20055","US","Wholesail networks LLC","146","Ziply Fiber","5678","socks4","1424","1","2023-04-07T22:06:37.866Z","94","1304","1391"
"45.196.151.134","elite","AS7018","US","AT&T Services","85","AQUA Networks Limited","5432","socks4","1219","1","2023-04-07T22:06:37.882Z","97","1318","1356"
"47.89.193.34","elite","AS45102","US","Alibaba.com LLC","146","ALICLOUD-US","24055","socks5","1347","1","2023-04-07T22:06:36.364Z","100","1322","1322"
"157.185.160.74","elite","AS54994","US","Quantil Networks Inc","78","Quantil Networks Inc","26589","socks5","1431","1","2023-04-07T22:06:36.679Z","100","1294","1296"
"24.9.18.47","elite","AS7922","US","Comcast Cable Communications, LLC","131","Comcast Cable Communications","21231","socks5","1289","1","2023-04-07T22:06:34.742Z","100","1308","1311"
"104.251.94.199","elite","AS20454","US","Secured Servers LLC","138","BraveWay","27507","socks5","1436","1","2023-04-07T22:06:34.291Z","100","1328","1330"
"75.119.203.210","elite","AS26347","US","New Dream Network, LLC","152","New Dream Network, LLC","32524","socks4","1217","1","2023-04-07T22:06:33.776Z","100","1394","1394"
"24.88.66.70","elite","AS11426","US","Charter Communications Inc","112","Spectrum","64312","socks4","1194","1","2023-04-07T22:06:33.776Z","99","1376","1384"
"74.62.23.242","elite","AS20001","US","Charter Communications","170","Spectrum","39593","socks4","1249","1","2023-04-07T22:06:32.987Z","100","1415","1417"
"38.127.172.186","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","55994","socks4","1309","1","2023-04-07T22:06:30.312Z","100","1326","1328"
"184.105.134.166","elite","AS6939","US","Hurricane Electric LLC","133","Hurricane Electric","48324","socks4","1306","1","2023-04-07T22:06:30.590Z","99","1403","1414"
"198.199.105.16","elite","AS14061","US","DigitalOcean, LLC","146","Digital Ocean","55994","socks4","1326","1","2023-04-07T22:06:30.312Z","100","1327","1327"
"64.225.28.9","elite","AS14061","US","DigitalOcean, LLC","85","DigitalOcean, LLC","52700","socks5","1293","1","2023-04-07T22:06:30.590Z","16","209","1295"
"216.176.187.99","elite","AS23033","US","Wowrack.com","145","Sonya McKenzie","8886","http","1252","806","2023-04-07T22:06:30.614Z","97","1266","1301"
"38.242.46.234","elite","AS174","US","Cogent Communications","72","Code 200, UAB","3128","socks5","1352","1","2023-04-07T22:06:29.538Z","97","1316","1351"
"172.98.170.52","elite","AS33083","US","AxcelX Technologies LLC","89","BraveWay LLC","42169","socks5","1363","1","2023-04-07T22:06:29.538Z","100","1368","1368"
"65.49.67.1","elite","AS6939","US","Hurricane Electric LLC","132","Calcom","48324","socks4","1235","1","2023-04-07T22:06:28.688Z","99","1405","1415"
"198.37.103.71","elite","AS397373","US","H4Y Technologies LLC","156","H4Y Technologies LLC","62220","socks4","1244","1","2023-04-07T22:06:28.714Z","100","1385","1386"
"207.244.255.174","elite","AS40021","US","Contabo Inc.","97","Contabo Inc","28664","socks5","1294","1","2023-04-07T22:06:27.164Z","100","1324","1330"
