ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"24.234.142.122","elite","AS22773","US","Cox Communications Inc.","169","Cox Communications Inc","31008","socks4","773","1","2023-03-23T22:09:08.387Z","97","1272","1311"
"38.127.173.99","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","11537","socks5","103","1","2023-03-23T22:09:08.090Z","100","1251","1252"
"160.16.233.90","elite","AS9370","JP","SAKURA Internet Inc.","240","SAKURA","3128","socks4","1116","1","2023-03-23T22:09:07.322Z","100","1250","1251"
"165.225.80.214","elite","AS62044","GB","Zscaler Switzerland GmbH","8","Zscaler, Inc.","10605","socks4","431","1","2023-03-23T22:09:07.996Z","98","1281","1311"
"120.238.19.2","elite","AS9808","CN","China Mobile communications corporation","248","China Mobile","1080","socks4","1154","1","2023-03-23T22:09:07.066Z","51","653","1275"
"185.202.7.161","elite","AS42871","AT","Michael Gamsjaeger Network","57","N/A","1455","socks4","671","1","2023-03-23T22:09:07.922Z","65","808","1235"
"178.212.54.161","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","37","Lubuskie Sieci Swiatlowodowe Sp. z o. o","1080","socks4","1214","1","2023-03-23T22:09:07.759Z","98","1268","1300"
"124.41.240.177","elite","AS17501","NP","WorldLink Communications","242","Wlink Static ENT KTM V1115","52480","socks4","712","1","2023-03-23T22:09:07.072Z","94","1234","1312"
"62.33.235.40","elite","AS20485","RU","Joint Stock Company TransTeleCom","48","DataLine","4153","socks4","1094","1","2023-03-23T22:09:07.911Z","13","171","1312"
"5.2.77.207","elite","AS60404","NL","The Infrastructure Group B.V.","12","N/A","9050","socks4","600","1","2023-03-23T22:09:07.922Z","100","1293","1295"
"103.51.44.41","elite","AS133819","ID","CIM","202","N/A","4145","socks4","1099","1","2023-03-23T22:09:07.068Z","100","1194","1200"
"36.255.104.9","elite","AS136238","MV","SatLink Pvt Ltd","165","N/A","1080","socks4","862","1","2023-03-23T22:09:07.798Z","100","1309","1311"
"118.71.99.233","elite","AS18403","VN","FPT Telecom Company","202","Vietnam Internet Network Information Center","5678","socks4","1200","1","2023-03-23T22:09:07.319Z","99","1293","1312"
"49.51.95.195","elite","AS132203","CA","OPHL","93","Tencent cloud computing (Beijing) Co., Ltd.","443","socks5","654","1","2023-03-23T22:09:07.949Z","69","868","1264"
"200.58.77.188","elite","AS27839","BO","Comteco Ltda","192","Comteco Ltda","1080","socks4","706","1","2023-03-23T22:09:07.947Z","99","1297","1305"
"14.20.235.113","elite","AS4134","CN","Chinanet","210","Chinanet GD","3629","socks4","1143","1","2023-03-23T22:09:07.321Z","48","577","1202"
"222.129.36.1","elite","AS4808","CN","China Unicom Beijing Province Network","233","N/A","4145","socks4","847","1","2023-03-23T22:09:07.587Z","95","1157","1221"
"38.127.173.131","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","12697","socks5","719","1","2023-03-23T22:09:07.078Z","100","1256","1258"
"159.223.177.158","elite","AS14061","US","DigitalOcean, LLC","101","DigitalOcean, LLC","8276","socks5","788","1","2023-03-23T22:09:07.920Z","84","1037","1238"
"104.18.44.93","elite","AS13335","CA","Cloudflare, Inc.","1","Cloudflare, Inc","80","socks4","691","1","2023-03-23T22:09:07.947Z","100","1196","1196"
"50.96.204.221","elite","AS7029","US","Windstream Communications LLC","115","Windstream Communications LLC","18351","socks4","1192","1","2023-03-23T22:09:07.066Z","100","1307","1311"
"89.39.105.138","elite","AS49981","NL","WorldStream B.V.","17","Worldstream","11111","socks5","1227","1","2023-03-23T22:09:07.064Z","99","1244","1252"
"103.205.128.41","elite","AS134850","IN","WAY 2 INTERNET PRIVATE LIMITED","111","WAY 2 Internet Private Limited","4145","socks4","1136","1","2023-03-23T22:09:07.910Z","99","1303","1311"
"45.7.177.183","elite","AS266626","BR","Litoral Telecom","198","Litoral Telecom","39867","socks4","1209","1","2023-03-23T22:09:07.065Z","98","1201","1225"
"182.23.79.162","elite","AS4800","ID","PT Aplikanusa Lintasarta","199","N/A","50862","socks4","1056","1","2023-03-23T22:09:07.912Z","98","1285","1311"
"36.37.180.59","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE","231","Viettel (cambodia) Pte., Ltd.","1080","socks4","736","1","2023-03-23T22:09:06.543Z","98","1173","1194"
"85.143.213.2","elite","AS201848","RU","Trader soft LLC","45","TIMES","9050","socks5","1186","1","2023-03-23T22:09:06.525Z","99","1240","1253"
"186.235.187.14","elite","AS61888","BR","GFT COMERCIO DE TELEFONIA E COMUNICACAO LTDA","148","Avil Tecidos Recife Ltda","4153","socks4","1231","1","2023-03-23T22:09:06.072Z","100","1269","1272"
"116.206.151.198","elite","AS132445","IN","Wire And Wireless Solutions","132","Prakash Kumar Khetan T/A WIRE AND WIRELESS SOLUTIONS","4153","socks4","799","1","2023-03-23T22:09:06.542Z","98","1287","1312"
